YEAR,MO,DY,Temprature,Humidity,Rainfall,Wind
2018,1,1,18.72,7.07,0,2.45
2018,1,2,18.31,6.64,0,2.57
2018,1,3,18.44,7.06,0,2.96
2018,1,4,19.13,6.9,0,2.06
2018,1,5,18.66,7.2,0,2.21
2018,1,6,17.86,6.06,0,2.69
2018,1,7,17.38,5.59,0,2.35
2018,1,8,18.75,6.12,0,2.64
2018,1,9,18.53,6.86,0,3.62
2018,1,10,20.08,6.55,0,3.73
2018,1,11,21.65,7.48,0,2.93
2018,1,12,23.11,7.97,0,2.8
2018,1,13,23.46,8.81,0,2.8
2018,1,14,24.01,9.45,0,2.34
2018,1,15,24.41,9.56,0,2.7
2018,1,16,23.49,7.68,0,2.76
2018,1,17,23.8,7.25,0,2.01
2018,1,18,22.5,6.27,0,1.96
2018,1,19,22,6,0,2.51
2018,1,20,21.75,5.7,0,2.89
2018,1,21,22.09,6.19,0,1.82
2018,1,22,21.61,5.85,0,2.5
2018,1,23,19.7,7.3,0.92,3.09
2018,1,24,18.67,4.93,0,2.28
2018,1,25,18.88,3.08,0,2.77
2018,1,26,19.05,2.73,0,2.93
2018,1,27,20.16,3.49,0,2.21
2018,1,28,20.94,4.7,0,2.2
2018,1,29,21.4,4.1,0,2.74
2018,1,30,21.8,3.62,0,3.65
2018,1,31,23.16,3.51,0,2.62
2018,2,1,23.11,3.56,0,2.27
2018,2,2,23.7,4.03,0,2.1
2018,2,3,23.44,4.49,0,2.37
2018,2,4,23.42,4.41,0,2.86
2018,2,5,24.17,5.19,0,1.92
2018,2,6,23.26,5.48,0,1.5
2018,2,7,23.29,5.72,0,2.66
2018,2,8,21.97,6.9,0,2.72
2018,2,9,21.44,5.85,0,2.06
2018,2,10,21.8,5.31,0,2.92
2018,2,11,21.73,7.56,0,2.99
2018,2,12,20.28,7.31,0,2.67
2018,2,13,21.19,5.17,0,2.37
2018,2,14,22.98,7.76,0,4.96
2018,2,15,24.13,7.37,0,4.2
2018,2,16,24.48,5.99,0,3.42
2018,2,17,24.15,3.95,0,2.85
2018,2,18,24.26,3.9,0,2.73
2018,2,19,24.86,4.48,0,2.7
2018,2,20,25.4,4.83,0,2.45
2018,2,21,25.23,4.73,0,2.34
2018,2,22,25.93,5.22,0,2.38
2018,2,23,26.65,5.75,0,2.38
2018,2,24,27.01,6.57,0,2.55
2018,2,25,27.36,6.29,0,2.79
